Genotype,MLH1 foci
col zyp1 + HEI10 OE homo female,21
col zyp1 + HEI10 OE homo female,23
col zyp1 + HEI10 OE homo female,24
col zyp1 + HEI10 OE homo female,28
col zyp1 + HEI10 OE homo female,34
col zyp1 + HEI10 OE homo female,42
col zyp1 + HEI10 OE homo female,44
col zyp1 + HEI10 OE homo female,46
col zyp1 + HEI10 OE homo female,48
col zyp1 + HEI10 OE homo female,49
col zyp1 + HEI10 OE homo female,49
col zyp1 + HEI10 OE homo female,53
col zyp1 + HEI10 OE homo female,55
col zyp1 + HEI10 OE homo female,55
col zyp1 + HEI10 OE homo female,55
col zyp1 + HEI10 OE homo female,57
col zyp1 + HEI10 OE homo female,58
col zyp1 + HEI10 OE homo female,58
col zyp1 + HEI10 OE homo female,60
col zyp1 + HEI10 OE homo female,68
col zyp1 + HEI10 OE homo female,76
