Genotype,MLH1 foci
col zyp1 + HEI10 OE het male,23
col zyp1 + HEI10 OE het male,25
col zyp1 + HEI10 OE het male,25
col zyp1 + HEI10 OE het male,33
col zyp1 + HEI10 OE het male,33
col zyp1 + HEI10 OE het male,37
col zyp1 + HEI10 OE het male,40
col zyp1 + HEI10 OE het male,41
col zyp1 + HEI10 OE het male,41
col zyp1 + HEI10 OE het male,42
col zyp1 + HEI10 OE het male,43
col zyp1 + HEI10 OE het male,44
col zyp1 + HEI10 OE het male,45
col zyp1 + HEI10 OE het male,46
col zyp1 + HEI10 OE het male,47
col zyp1 + HEI10 OE het male,47
col zyp1 + HEI10 OE het male,47
col zyp1 + HEI10 OE het male,48
col zyp1 + HEI10 OE het male,48
col zyp1 + HEI10 OE het male,48
col zyp1 + HEI10 OE het male,49
col zyp1 + HEI10 OE het male,52
