Genotype,MLH1 foci
col zyp1 + HEI10 OE homo male,24
col zyp1 + HEI10 OE homo male,32
col zyp1 + HEI10 OE homo male,32
col zyp1 + HEI10 OE homo male,33
col zyp1 + HEI10 OE homo male,35
col zyp1 + HEI10 OE homo male,38
col zyp1 + HEI10 OE homo male,39
col zyp1 + HEI10 OE homo male,39
col zyp1 + HEI10 OE homo male,39
col zyp1 + HEI10 OE homo male,40
col zyp1 + HEI10 OE homo male,42
col zyp1 + HEI10 OE homo male,42
col zyp1 + HEI10 OE homo male,43
col zyp1 + HEI10 OE homo male,43
col zyp1 + HEI10 OE homo male,45
col zyp1 + HEI10 OE homo male,45
col zyp1 + HEI10 OE homo male,45
col zyp1 + HEI10 OE homo male,46
col zyp1 + HEI10 OE homo male,46
col zyp1 + HEI10 OE homo male,46
col zyp1 + HEI10 OE homo male,47
col zyp1 + HEI10 OE homo male,47
col zyp1 + HEI10 OE homo male,47
col zyp1 + HEI10 OE homo male,48
col zyp1 + HEI10 OE homo male,48
col zyp1 + HEI10 OE homo male,49
col zyp1 + HEI10 OE homo male,49
col zyp1 + HEI10 OE homo male,51
col zyp1 + HEI10 OE homo male,51
col zyp1 + HEI10 OE homo male,53
col zyp1 + HEI10 OE homo male,53
col zyp1 + HEI10 OE homo male,53
col zyp1 + HEI10 OE homo male,54
col zyp1 + HEI10 OE homo male,56
col zyp1 + HEI10 OE homo male,58
col zyp1 + HEI10 OE homo male,63
